EQP_TYPE,RECIPE_PREV,RECIPE_ID,TIME
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,ZFRlVUJ2RVJWVndNUVM1VnZrTGQ2SFcyazBrcDR1VDQ5QkFha2o1SXM5TT0=,5.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,ZFRlVUJ2RVJWVndNUVM1VnZrTGQ2SFcyazBrcDR1VDQ5QkFha2o1SXM5TT0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,4.57
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,5.38
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,5.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,6.97
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,7.75
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,6.69
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,7.31
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,cmtuTHRzY25BOVB6cGlIaTg0Vk1qcTQ3ejRjZjZUblNzZDkzRDBUeWlyVT0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,3.33
